,player_id,position,sub_position,yellow_cards,red_cards,avg_minutes_played,n_games
94,155025,Defender,Centre-Back,50,1,86.75,180
95,165825,Defender,Centre-Back,50,1,81.04651162790698,129
96,172181,Defender,Right-Back,50,1,78.37569060773481,181
97,279869,Defender,Centre-Back,50,0,86.28834355828221,163
98,14086,Defender,Left-Back,49,0,71.04310344827586,232
99,32522,Defender,Right-Back,49,0,76.33004926108374,203
100,55769,Defender,Right-Back,49,0,75.29741379310344,232
101,58884,Defender,Centre-Back,49,0,74.53456221198157,217
102,175597,Defender,Left-Back,49,1,84.77868852459017,122
103,177907,Defender,Centre-Back,49,1,86.73593073593074,231
104,193303,Defender,Left-Back,49,0,83.47317073170731,205
105,197602,Defender,Centre-Back,49,1,84.1271676300578,173
106,276896,Defender,Centre-Back,49,1,87.50555555555556,180
107,52920,Defender,Centre-Back,48,3,87.8108108108108,259
108,67090,Defender,Left-Back,48,0,79.34302325581395,172
109,92899,Defender,Left-Back,48,1,70.33557046979865,149
110,160736,Defender,Centre-Back,48,1,83.1969696969697,132
111,183288,Defender,Left-Back,48,0,78.66666666666667,186
112,250844,Defender,Centre-Back,48,4,84.66111111111111,180
113,253765,Defender,Centre-Back,48,1,83.56398104265404,211
114,355915,Defender,Centre-Back,48,1,85.36283185840708,113
115,13121,Defender,Centre-Back,47,3,85.47465437788019,217
116,15951,Defender,Right-Back,47,2,80.30319148936171,188
117,18547,Defender,Centre-Back,47,2,81.81506849315069,146
118,45340,Defender,Centre-Back,47,2,85.990990990991,222
119,50174,Defender,Left-Back,47,0,80.00595238095238,168
120,54155,Defender,Right-Back,47,0,81.06796116504854,206
121,56777,Defender,Left-Back,47,0,76.52631578947368,133
122,137648,Defender,Centre-Back,47,0,87.53403141361257,191
123,151494,Defender,Centre-Back,47,0,80.52601156069365,173
124,242760,Defender,Right-Back,47,1,78.39106145251397,179
125,2865,Defender,Right-Back,46,0,73.63874345549738,191
126,44977,Defender,Centre-Back,46,2,81.76436781609195,174
127,52059,Defender,Centre-Back,46,3,86.51440329218107,243
128,57834,Defender,Right-Back,46,2,81.72049689440993,161
129,71559,Defender,Centre-Back,46,2,83.73626373626374,182
130,112515,Defender,Left-Back,46,1,81.87698412698413,252
131,124732,Defender,Centre-Back,46,0,84.77725118483413,211
132,136610,Defender,Centre-Back,46,2,86.91005291005291,189
133,170472,Defender,Right-Back,46,0,74.63942307692308,208
134,197135,Defender,Right-Back,46,1,78.26737967914438,187
135,216443,Defender,Centre-Back,46,2,75.69633507853403,191
136,241229,Defender,Left-Back,46,4,81.7439024390244,164
137,21306,Defender,Left-Back,45,1,86.46643109540636,283
138,26485,Defender,Centre-Back,45,2,79.25506072874494,247
139,41583,Defender,Centre-Back,45,1,85.4095238095238,210
140,46083,Defender,Centre-Back,45,3,86.08812260536398,261
141,82350,Defender,Centre-Back,45,0,88.48453608247422,194
142,104752,Defender,Centre-Back,45,2,83.5354609929078,282
143,126540,Defender,Centre-Back,45,0,83.64878048780488,205
144,131075,Defender,Centre-Back,45,1,89.546875,320
145,132014,Defender,Right-Back,45,0,85.49162011173185,179
146,160222,Defender,Centre-Back,45,2,84.46315789473684,190
147,39728,Defender,Centre-Back,44,1,83.12377850162866,307
148,48859,Defender,Centre-Back,44,1,84.33976833976834,259
149,51118,Defender,Centre-Back,44,0,85.84653465346534,202
